preset,model,layout,transform,method,initial_mean,final_mean,sd_mean,initial_high,final_high,final_bad,final_middle,final_best16
bell,shared,quality,identity,grpo,0.5000000000000001,0.9699597677123236,0.00045211553967776846,0.0057925738750420844,0.9754872346007731,0.003748310777967273,0.020764454621259632,0.9999999713844264
bell,shared,quality,identity,maxrl,0.5000000000000001,0.9451653171644595,0.0003420633516390704,0.0057925738750420844,0.9152348678022134,0.011362986140803217,0.07340214605698336,0.9999935595694572
bell,shared,quality,identity,tailrl,0.5000000000000001,0.8585520597960548,0.0033802730927494132,0.0057925738750420844,0.5103906147252169,0.014175960376116695,0.4754334248986664,0.9890595971187142
bell,shared,quality,identity,pkpo,0.5000000000000001,0.6930940291863467,0.0021843858038405007,0.0057925738750420844,0.09991203550464738,0.037415749010021336,0.8626722154853314,0.9193533941542288
bell,shared,quality,identity,elite,0.5000000000000001,0.9707069462973891,0.0006504986892572074,0.0057925738750420844,0.9768435615620609,0.012003929789365918,0.01115250864857318,0.9999999996378143
bell,shared,quality,log,rloo,0.5000000000000001,0.6301819072984222,0.0008796574196120965,0.0057925738750420844,0.016984496225217628,0.012478727293316304,0.9705367764814662,0.836598105661869
bell,shared,quality,log,grpo,0.5000000000000001,0.9679276568829792,0.0006901702558741915,0.0057925738750420844,0.9718171822004686,0.0036105709515823793,0.024572246847948998,0.9999999271444139
bell,shared,quality,log,maxrl,0.5000000000000001,0.9451653171644595,0.0003420633516390704,0.0057925738750420844,0.9152348678022134,0.011362986140803217,0.07340214605698336,0.9999935595694572
bell,shared,quality,log,tailrl,0.5000000000000001,0.7649542128149793,0.002890091228439499,0.0057925738750420844,0.1628373323940254,0.012266475207945276,0.8248961923980294,0.9390350737080313
bell,shared,quality,log,pkpo,0.5000000000000001,0.6158968182371279,0.0014424987407917393,0.0057925738750420844,0.0317782457158697,0.03790851036351366,0.9303132439206167,0.8623074794601878
bell,shared,quality,log,elite,0.5000000000000001,0.9707069462973891,0.0006504986892572074,0.0057925738750420844,0.9768435615620609,0.012003929789365918,0.01115250864857318,0.9999999996378143
bell,shared,quality,square,rloo,0.5000000000000001,0.7194202510265278,0.002025809580480192,0.0057925738750420844,0.07400785172360319,0.010018727118581552,0.9159734211578151,0.9026387675238924
bell,shared,quality,square,grpo,0.5000000000000001,0.9718770595361645,0.00021504650558364216,0.0057925738750420844,0.9786778583347256,0.00400494140777398,0.017317200257500436,0.999999990402635
bell,shared,quality,square,maxrl,0.5000000000000001,0.9451653171644595,0.0003420633516390704,0.0057925738750420844,0.9152348678022134,0.011362986140803217,0.07340214605698336,0.9999935595694572
bell,shared,quality,square,tailrl,0.5000000000000001,0.9120858571793852,0.0023781230998163663,0.0057925738750420844,0.7811509101166565,0.01396811465335464,0.20488097522998885,0.9994690723798373
bell,shared,quality,square,pkpo,0.5000000000000001,0.7550646079010814,0.003247052051487908,0.0057925738750420844,0.22822050640690847,0.04221810527017584,0.7295613883229158,0.9586766256098157
bell,shared,quality,square,elite,0.5000000000000001,0.9707069462973891,0.0006504986892572074,0.0057925738750420844,0.9768435615620609,0.012003929789365918,0.01115250864857318,0.9999999996378143
bell,shared,quality,ranknormal,rloo,0.5000000000000001,0.966772355098677,0.0002619694274976675,0.0057925738750420844,0.9702516938305904,0.006215186389051763,0.02353311978035785,0.9999999575483839
bell,shared,quality,ranknormal,grpo,0.5000000000000001,0.9711855921146969,0.0003093556916067534,0.0057925738750420844,0.9778942814036702,0.005705346634981865,0.016400371961347967,0.9999999935190377
bell,shared,quality,ranknormal,maxrl,0.5000000000000001,0.9451653171644595,0.0003420633516390704,0.0057925738750420844,0.9152348678022134,0.011362986140803217,0.07340214605698336,0.9999935595694572
